Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,NACH,NAIN,Segment Length,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth
30108,619397.258774,4847951.31534,619538.758692,4847765.26527,0.31186876,-1,2,0.97876042,1.1129749,233.74529,446947,8434.4492,70707,592745.25
30109,619343.624079,4848103.06768,619397.258774,4847951.31534,2.1655672,-1,3,0.99202943,1.1393667,160.95171,520906,8634.4551,70707,579015.06
30110,619617.554064,4847610.46044,619803.050049,4847675.79423,3.0615854,-1,5,1.0227345,1.0543634,196.66536,847505,7990.2729,70707,625695.75
30111,619827.380411,4842254.73649,619996.547,4842276.71503,3.1216354,-1,5,1.0466642,1.113844,170.58836,1101290,8441.0361,70707,592282.69
30112,619996.547,4842276.71503,620063.882624,4842288.5742,3.1487117,-1,4,1.061198,1.1174881,68.371971,1331353,8468.6523,70707,590351.25
30113,619815.108972,4842242.6329,619816.225741,4842186.17884,1.102834,-1,2,0,1.0025932,56.465107,0,7597.9429,70707,658004.44
30114,619815.108972,4842242.6329,619827.380411,4842254.73649,3.1882474,-1,5,0.89813566,1.0613663,17.236151,159712,8043.3438,70707,621567.38
30115,619996.547,4842276.71503,620005.803535,4842253.30661,1.9712671,-1,2,0,0.98440617,25.172165,0,7460.1152,70707,670161.19
30116,619783.530334,4842265.69381,619827.380411,4842254.73649,4.1022863,-1,5,0.9984225,1.0830567,45.198364,596456,8207.7207,70707,609119.19
30117,619827.380411,4842254.73649,619835.884677,4842262.80773,2.2503815,-1,3,0,0.93512744,11.724651,0,7086.666,70707,705477
30118,619783.530334,4842265.69381,619815.108972,4842242.6329,3.6050789,-1,4,0.31291357,0.96302855,39.102631,66,7298.1089,70707,685037.69
30119,619698.855421,4842270.198,619783.530334,4842265.69381,1.0075701,-1,4,0.9813289,1.0680614,84.794624,481547,8094.0806,70707,617671.12
30120,619690.115322,4842278.47215,619698.855421,4842270.198,1.9309398,-1,2,0,1.0157893,12.035399,0,7697.9468,70707,649456.31
30121,619526.682366,4842514.03755,619560.049627,4842512.88042,3.2909291,-1,4,0.44516954,0.88672876,33.387318,410,6719.8857,70707,743982.88
30122,619513.523033,4842565.85242,619560.049627,4842512.88042,4.5773883,-1,4,0.44911572,0.84504378,70.503586,442,6403.9839,70707,780682.75
30123,619513.030358,4842473.89587,619526.682366,4842514.03755,1.458032,-1,3,0.88187736,0.92913598,42.399662,144579,7041.2607,70707,710026.25
30124,619513.030358,4842473.89587,619523.984708,4842373.12116,0.55186838,-1,2,0.90358841,0.95539439,101.36834,188889,7240.2549,70707,690511.56
30125,619523.984708,4842373.12116,619575.440719,4842287.09405,0.57246023,-1,2,0.92123622,0.98288172,100.24164,233296,7448.5625,70707,671200.62
30126,619575.440719,4842287.09405,619609.987973,4842265.27544,0.69205874,-1,2,0.9364382,1.0145793,40.860306,277702,7688.7769,70707,650230.88
30127,619609.987973,4842265.27544,619698.855421,4842270.198,1.9450992,-1,3,0.95063013,1.0600091,89.003677,322102,8033.0581,70707,622363.19
30128,619517.24846,4832121.65792,619557.886749,4831991.50011,2.0101409,-1,4,1.2825687,1.1292059,136.35442,24890768,8557.4541,70707,584225.12
30129,619484.515951,4832226.49457,619517.24846,4832121.65792,2.0654831,-1,4,1.2840968,1.1292045,109.82777,25401020,8557.4434,70707,584225.88
30130,627696.864848,4849551.38366,627935.849143,4849629.20503,3.423934,-1,5,1.2049356,1.1240895,251.33575,8927639,8518.6797,70707,586884.38
30131,629109.270875,4849354.60356,629169.47013,4849173.45791,2.0328038,-1,2,0,1.067144,190.88661,0,8087.1289,70707,618202.06
30132,627468.02119,4840436.98812,627540.701176,4840079.79352,3.9847364,-1,4,0.88785022,1.1060723,364.51385,134227,8382.1406,70707,596444.31
30133,632925.595271,4849629.66031,632935.938986,4849625.30638,3.4965656,-1,5,1.1300734,1.045452,11.222704,3584959,7922.7407,70707,631029.12
30134,632935.938986,4849625.30638,632949.450509,4849618.82469,1.9563242,-1,4,1.153815,1.0481346,14.985779,4907974,7943.0688,70707,629414.12
30135,631924.450304,4844304.45131,631965.205949,4844261.22684,3.6228948,-1,5,0.94449443,0.85037202,59.408566,365453,6444.3633,70707,775791.12
30136,632266.477704,4844387.57678,632271.713491,4844356.78918,3.0856576,-1,5,1.2731175,1.1167082,31.229624,22268510,8462.7422,70707,590763.62
30137,615714.991341,4837774.9858,615981.124618,4837865.23749,3.034421,-1,5,1.1284399,1.0206959,281.02008,3603744,7735.1304,70707,646334.25
30138,615781.978984,4845319.1396,615895.165219,4845337.97169,2.6853149,-1,3,0.87507838,0.87179631,114.7422,139486,6606.7231,70707,756726.12
30139,615713.744807,4845363.00127,615781.978984,4845319.1396,2.4466262,-1,3,0.84401196,0.83522391,81.115654,94973,6329.5664,70707,789861.38
30140,615713.744807,4845363.00127,615731.654775,4845390.80887,2.6655107,-1,3,0.18773523,0.76872021,33.076118,12,5825.5811,70707,858194.19
30141,615697.053992,4845374.61736,615731.654775,4845390.80887,2.1173804,-1,2,0.17574854,0.78322369,38.20182,10,5935.4927,70707,842302.44
30142,615646.113497,4845390.80139,615697.053992,4845374.61736,1.4888513,-1,3,0.78655553,0.81557703,53.44957,44348,6180.6763,70707,808888.81
30143,615715.787862,4845192.63145,615811.8875,4845222.40341,1.406878,-1,3,0.92662531,0.95985675,100.60571,256359,7274.0723,70707,687301.38
30144,615658.470688,4845200.11779,615715.787862,4845192.63145,1.4217026,-1,3,0.91091084,0.93478328,57.804012,212614,7084.0576,70707,705736.75
30145,615612.864055,4845493.15918,615646.113497,4845390.80139,2.2850306,-1,3,0.42496029,0.78702378,107.62268,328,5964.2915,70707,838235.38
30146,615612.864055,4845493.15918,615695.799944,4845577.34338,0.87778926,-1,2,0.71852952,0.81409281,118.17505,17601,6169.4282,70707,810363.56
30147,615695.799944,4845577.34338,615721.106786,4845624.66199,2.2401974,-1,4,0.81173152,0.82699084,53.660851,61761,6267.1733,70707,797724.81
30148,615553.111312,4845358.2514,615646.113497,4845390.80139,3.3869131,-1,4,0.8594625,0.84587908,98.533791,115875,6410.314,70707,779911.81
30149,615895.165219,4845337.97169,615902.643689,4845231.64905,2.9243841,-1,5,1.0073026,0.96746665,106.58533,752178,7331.7427,70707,681895.19
30150,615811.8875,4845222.40341,615902.643689,4845231.64905,3.3537431,-1,5,0.96403158,0.9722833,91.225914,418610,7368.2451,70707,678517.06
30151,615796.800215,4845269.44756,615811.8875,4845222.40341,1.8733745,-1,2,0,0.89170057,49.404232,0,6757.5635,70707,739834.69
30152,627010.552556,4848797.6841,627036.670558,4848779.61417,2.7929931,-1,4,0.87022412,1.0146322,31.759604,114459,7689.1777,70707,650196.94
30153,627045.353777,4848755.677,627054.315315,4848704.12516,3.0234981,-1,5,0.98073965,1.0729299,52.324963,475652,8130.9761,70707,614868.38
30154,627036.670558,4848779.61417,627045.353777,4848755.677,2.5144269,-1,4,0.94940221,1.0596082,25.463432,316982,8030.0205,70707,622598.62
30155,627045.353777,4848755.677,627075.548579,4848766.27871,3.2737799,-1,3,0,0.97286195,32.001911,0,7372.6299,70707,678113.5
30156,627050.680456,4848784.30429,627075.548579,4848766.27871,2.3836565,-1,3,0.081314929,0.89491719,30.713921,2,6781.9404,70707,737175.44
30157,627042.463023,4848808.58592,627050.680456,4848784.30429,3.4005101,-1,4,0.1700388,0.86765057,25.634424,9,6575.3052,70707,760341.88
30158,627010.552556,4848797.6841,627042.463023,4848808.58592,3.4110539,-1,4,0.3482708,0.95659304,33.721321,107,7249.3389,70707,689646.31
30159,627036.670558,4848779.61417,627050.680456,4848784.30429,3.2138805,-1,4,0.79545951,0.95006925,14.774113,44335,7199.8994,70707,694381.88
30160,626828.788679,4848841.48969,626845.236083,4848846.54598,3.411258,-1,4,0.81799042,0.9819631,17.207069,58430,7441.6016,70707,671828.5
30161,626826.077076,4848863.3709,626828.788679,4848841.48969,3.6303809,-1,5,1.0157186,1.0910271,22.048594,745413,8268.123,70707,604669.25
30162,626828.788679,4848841.48969,626849.615748,4848732.38031,2.0947609,-1,4,1.023563,1.0931181,111.07935,825845,8283.9688,70707,603512.62
30163,626980.856776,4848884.00543,627010.552556,4848797.6841,3.3885727,-1,4,0.47361791,0.97230554,91.28643,577,7368.4131,70707,678501.56
30164,627101.586973,4848828.22032,627120.571989,4848784.54256,2.9215527,-1,5,1.0021664,1.0592338,47.625389,641085,8027.1826,70707,622818.75
30165,626826.077076,4848863.3709,626845.236083,4848846.54598,4.4591055,-1,5,0.74940741,0.98109031,25.49795,23295,7434.9868,70707,672426.19
30166,626845.236083,4848846.54598,626980.856776,4848884.00543,1.6230985,-1,4,0.81009459,0.98173738,140.69891,52566,7439.8906,70707,671983
30167,627087.994492,4848770.90749,627120.571989,4848784.54256,2.1156209,-1,3,0,0.96468788,35.315838,0,7310.6841,70707,683859.38
30168,627120.571989,4848784.54256,627139.278597,4848732.16521,6.1153374,-1,7,1.0219587,1.0639266,55.617661,831071,8062.7456,70707,620071.62
30169,627084.545911,4848868.95411,627102.714371,4848886.65339,1.581111,-1,2,0,0.97418004,25.364489,0,7382.6187,70707,677196
30170,627042.463023,4848808.58592,627101.586973,4848828.22032,3.000299,-1,4,0.91418803,0.9569754,62.298885,217492,7252.2368,70707,689370.75
30171,627084.545911,4848868.95411,627101.586973,4848828.22032,2.2363722,-1,4,0.91374159,1.0582967,44.154724,197197,8020.0811,70707,623370.25
30172,616383.427438,4839168.50934,616396.709357,4839160.57536,1.8979789,-1,2,0,0.73355263,15.471177,0,5559.0703,70707,899337.38
30173,616433.511293,4839177.88761,616467.715993,4839196.42491,2.2505608,-1,3,0,0.82844746,38.904926,0,6278.2124,70707,796322.19
30174,616433.511293,4839177.88761,616455.515067,4839126.85711,3.4621937,-1,5,0.97519386,0.90400404,55.572277,522085,6850.8032,70707,729765.5
30175,616455.515067,4839126.85711,616478.711663,4839164.23285,2.2210729,-1,2,0,0.85329574,43.988953,0,6466.52,70707,773132.94
30176,616383.427438,4839168.50934,616433.511293,4839177.88761,3.7874761,-1,5,0.88203251,0.83452612,50.954338,159276,6324.2783,70707,790521.81
30177,618764.754546,4837622.84895,619069.034297,4837720.58946,3.1181238,-1,5,1.0373033,1.0334439,319.5925,1051034,7831.7393,70707,638361.38
30178,619069.034297,4837720.58946,619097.704675,4837649.46426,3.0609996,-1,4,1.0398251,0.92983568,76.686272,1213286,7046.563,70707,709491.94
30179,616092.423372,4844083.83077,616111.271224,4843945.74993,1.9556545,-1,2,0,0.66385829,139.36125,0,5030.9062,70707,993753.38
30180,631107.79692,4834083.79465,631148.448113,4834112.11194,2.2730577,-1,5,1.0447481,1.0930592,49.54179,1094932,8283.5215,70707,603545.19
30181,613224.817705,4846045.96912,613270.981913,4846046.01116,2.9632397,-1,4,0.86707753,0.96211308,46.164227,114914,7291.1719,70707,685689.5
30182,613198.861119,4845927.91458,613224.817705,4846045.96912,2.7900224,-1,3,0.44736362,0.88380599,120.87439,423,6697.7363,70707,746443.25
30183,613137.285482,4845941.90475,613198.861119,4845927.91458,2.1708598,-1,4,0.77300286,0.89253396,63.144943,34398,6763.8789,70707,739143.88
30184,613319.327777,4845873.21304,613325.04738,4845898.67016,2.0223486,-1,4,0.99457043,0.92593646,26.091738,662210,7017.0142,70707,712479.69
30185,613343.951642,4845934.07326,613369.290584,4845937.36422,1.76069,-1,4,1.0096536,0.92572916,25.551758,811656,7015.4429,70707,712639.25
30186,613198.861119,4845927.91458,613237.977259,4845914.25768,2.0962918,-1,4,0.8322686,0.89829528,41.431671,76213,6807.5405,70707,734403.25
30187,613319.327777,4845873.21304,613402.298093,4845867.68848,1.9890933,-1,2,0,0.84536505,83.154037,0,6406.4185,70707,780386.06
30188,613325.04738,4845898.67016,613343.951642,4845934.07326,3.3619733,-1,4,0.98714018,0.92261368,40.134159,601242,6991.8325,70707,715045.69
30189,613237.977259,4845914.25768,613296.042188,4845919.68533,1.7573346,-1,4,0.79676491,0.9090566,58.318054,46735,6889.0928,70707,725709.44
30190,613296.042188,4845919.68533,613343.951642,4845934.07326,3.1429758,-1,4,0.86259323,0.91436553,50.023277,113050,6929.3257,70707,721495.88
30191,613296.042188,4845919.68533,613325.04738,4845898.67016,3.7020688,-1,4,0.4952563,0.86279786,35.81813,819,6538.5298,70707,764618.31
30192,613263.02823,4846007.71831,613270.981913,4846046.01116,2.1016004,-1,3,0,1.0568323,39.110142,0,8008.9834,70707,624234
30193,614915.957451,4846469.1407,614941.678749,4846416.92818,2.07618,-1,4,0.79058456,0.95224679,58.204227,41446,7216.4014,70707,692794
30194,614876.929386,4846535.67657,614915.957451,4846469.1407,1.9583149,-1,4,0.8825841,0.95107067,77.137619,142987,7207.4883,70707,693650.75
30195,614987.949288,4846525.90304,614995.269823,4846500.81697,1.9554944,-1,2,0,0.91769999,26.13238,0,6954.5957,70707,718874.31
30196,614984.815932,4846496.59953,614995.269823,4846500.81697,2.0249484,-1,4,0.91841131,1.014928,11.272562,218097,7691.4199,70707,650007.44
30197,614981.113586,4846507.82177,614984.815932,4846496.59953,2.0025561,-1,2,0,0.91201746,11.817192,0,6911.5312,70707,723353.44
30198,614915.957451,4846469.1407,614984.815932,4846496.59953,2.9175453,-1,4,0.84786385,1.0149282,74.131493,84832,7691.4209,70707,650007.31
30199,612864.135704,4843254.51893,612865.550463,4843201.9145,1.4837828,-1,2,0,0.8119294,52.623447,0,6153.0332,70707,812522.81
30200,612864.135704,4843254.51893,612940.982021,4843289.52669,2.2753332,-1,4,0.8891502,0.86445761,84.444656,170029,6551.1084,70707,763150.25
30201,612843.23983,4843146.95757,612971.393007,4843200.84041,2.074472,-1,4,0.8439129,0.85405946,139.02013,93077,6472.3076,70707,772441.62
30202,612826.484129,4845549.67747,612884.563683,4845570.63963,2.0111971,-1,4,1.045478,1.0158709,61.746632,1193599,7698.5659,70707,649404.06
30203,613026.590334,4845621.34457,613050.599051,4845605.15201,2.4311411,-1,3,0.95912415,0.95409703,28.958893,399077,7230.4229,70707,691450.5
30204,613050.599051,4845605.15201,613080.543719,4845611.99642,1.9239016,-1,3,0.94671506,0.9059813,30.716917,354704,6865.7876,70707,728172.81
30205,612884.563683,4845570.63963,613026.590334,4845621.34457,1.6974928,-1,4,1.0332897,1.0158681,150.80637,1013946,7698.543,70707,649405.94
30206,613089.13882,4845682.2975,613093.636056,4845709.5135,1.5415827,-1,4,0.96152383,0.9902038,27.585064,397703,7504.0522,70707,666237.38
30207,613093.636056,4845709.5135,613126.41604,4845763.00522,3.777215,-1,4,0.83569127,0.94906008,62.736683,76235,7192.2515,70707,695120.25
30208,613058.766859,4845638.2496,613089.13882,4845682.2975,2.3383665,-1,4,0.9636147,0.9905113,53.503963,408889,7506.3818,70707,666030.56
30209,613026.590334,4845621.34457,613058.766859,4845638.2496,2.5788093,-1,4,0.97830439,1.0064955,36.347057,490173,7627.5146,70707,655453.31
30210,613012.792257,4845900.77638,613048.106466,4845855.49698,2.2670767,-1,4,0.96178925,0.99156499,57.422268,398594,7514.3667,70707,665322.81
30211,613048.106466,4845855.49698,613086.164123,4845749.70202,1.2880274,-1,3,0.95482886,0.98831767,112.43202,364217,7489.7578,70707,667508.88
30212,613086.164123,4845749.70202,613126.41604,4845763.00522,3.4519041,-1,4,0.73437804,0.9790076,42.393303,19070,7419.2031,70707,673856.69
30213,613086.164123,4845749.70202,613093.636056,4845709.5135,2.7708809,-1,4,0.94754195,0.98826146,40.877213,330325,7489.332,70707,667546.81
30214,613139.734226,4845635.61527,613153.973122,4845600.6819,4.0040846,-1,4,0.78691268,0.81823593,37.72382,44450,6200.8257,70707,806260.31
30215,613058.766859,4845638.2496,613080.543719,4845611.99642,3.7975769,-1,4,0.50693905,0.92560065,34.109547,926,7014.4692,70707,712738.19
30216,613080.543719,4845611.99642,613094.47427,4845617.7248,1.9568844,-1,4,0.936306,0.89688206,15.062358,311136,6796.8306,70707,735560.44
30217,613094.47427,4845617.7248,613107.688719,4845579.72232,2.8169825,-1,3,0.78673285,0.81571996,40.234444,44449,6181.7593,70707,808747.06
30218,613107.688719,4845579.72232,613147.512398,4845581.0555,1.5845037,-1,2,0,0.76186699,39.845989,0,5773.645,70707,865913.94
30219,613147.512398,4845581.0555,613153.973122,4845600.6819,1.4861207,-1,3,0,0.78722692,20.662443,0,5965.8306,70707,838019.12
30220,613094.47427,4845617.7248,613139.734226,4845635.61527,2.2404766,-1,4,0.89483088,0.8962093,48.667572,177796,6791.7324,70707,736112.62
30221,613139.734226,4845635.61527,613183.54889,4845633.86167,2.9749889,-1,3,0.79074019,0.87391317,43.849743,44450,6622.7651,70707,754893.12
30222,613153.973122,4845600.6819,613183.54889,4845633.86167,2.9891617,-1,3,0,0.77021921,44.447983,0,5836.9409,70707,856524
30223,613089.13882,4845682.2975,613113.936868,4845669.1803,1.7199535,-1,2,0,0.91946858,28.053595,0,6967.998,70707,717491.56
30224,612124.556102,4842952.90392,612162.403487,4843001.42485,4.4660282,-1,6,0.90072006,0.86275691,61.536209,199230,6538.2197,70707,764654.62
30225,612100.453199,4843044.96924,612162.403487,4843001.42485,3.1943915,-1,5,0.72880203,0.79970729,75.722862,20506,6060.4102,70707,824940.81
30226,612307.318908,4842931.71371,612356.370572,4842934.10164,2.5413251,-1,3,0.27624312,0.80574924,49.109753,42,6106.1982,70707,818754.94
30227,612162.403487,4843001.42485,612307.318908,4842931.71371,2.7023897,-1,4,0.66477966,0.80701989,160.81082,8520,6115.8276,70707,817465.81
30228,612162.403487,4843001.42485,612217.357723,4843029.08807,3.1675272,-1,5,0.83607876,0.84091002,61.524158,84791,6372.6572,70707,784520.44
