row_id,Ref,area_name,Angular Connectivity,Connectivity,NACH,NAIN,Segment Length,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth
231,231,Shop The Queensway,4.0252113,5,0.56977707,0.93168265,183.58408,2153.0,7060.5601,70707,708085.44
232,232,Shop The Queensway,3.9970114,5,0.54239112,0.93224013,182.2934,1488.0,7064.7852,70707,707662.0
233,233,Shop The Queensway,2.0389566,4,0.97829807,0.99330884,82.249214,496496.0,7527.583,70707,664154.75
234,234,Shop The Queensway,4.0285172,5,0.36361212,0.93202436,182.03896,133.0,7063.1499,70707,707825.81
235,235,Shop The Queensway,3.0873837,5,0.99361891,0.99606866,84.214897,608024.0,7548.4971,70707,662314.56
236,236,Shop The Queensway,3.0146651,4,1.04085,1.0066766,132.23866,1132578.0,7628.8877,70707,655335.38
237,237,Shop The Queensway,3.0014451,5,1.0347503,1.0054415,204.02615,1045060.0,7619.5283,70707,656140.31
238,238,The Kingsway,2.8001723,3,0.71681935,0.85051656,83.021545,16665.0,6445.4585,70707,775659.31
239,239,The Kingsway,1.6121597,2,0.13145334,0.79387975,52.907421,5.0,6016.2476,70707,830996.38
240,240,The Kingsway,2.7556324,3,0.75409907,0.8414585,83.034363,27854.0,6376.8135,70707,784009.06
241,241,The Kingsway,3.0510385,4,0.84654135,0.93531626,143.4368,89311.0,7088.0972,70707,705334.56
247,247,Village of Islington,3.9353743,5,1.0288447,1.0208615,94.965866,950577.0,7736.3853,70707,646229.44
247,247,The Kingsway,3.9353743,5,1.0288447,1.0208615,94.965866,950577.0,7736.3853,70707,646229.44
251,251,Village of Islington,4.0178251,6,0.92910039,0.99707371,213.13055,255827.0,7556.1143,70707,661646.94
252,252,Village of Islington,2.0094295,3,0.0,1.0121325,58.292282,0.0,7670.2339,70707,651802.75
253,253,The Kingsway,2.1406128,4,1.0565755,1.0185275,128.29683,1380907.0,7718.6973,70707,647710.31
254,254,The Kingsway,3.4041014,5,1.0477202,1.0148555,120.29179,1231249.0,7690.8696,70707,650053.88
255,255,The Kingsway,3.3163955,4,0.76494658,0.93537217,97.970734,29763.0,7088.5205,70707,705292.44
256,256,The Kingsway,3.2658234,5,0.89652318,0.92209238,92.227844,177323.0,6987.8823,70707,715449.94
257,257,The Kingsway,2.8582358,5,0.99777406,1.0130888,184.10054,632072.0,7677.481,70707,651187.5
258,258,The Kingsway,2.8092773,4,0.78729671,0.91955602,98.294807,40759.0,6968.6611,70707,717423.31
